"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPY19L2P1","DPY19L2P1",14.1736061197592,-2.43113261643991,0.289077941460415,-8.40995547483798,4.10166395903259e-17,1.18326982682138e-15
"RGS7","RGS7",6.45335465789292,-2.87255501019027,0.341846912549997,-8.40304506120162,4.35047654999644e-17,1.25311180255684e-15
"CEL","CEL",72.7633782674667,2.02711409138479,0.241383159134849,8.39791018830914,4.54494590324917e-17,1.30710963457852e-15
"PRDM16","PRDM16",23.9030018822057,1.34408575971701,0.160101977507093,8.39518524783654,4.65160273742039e-17,1.33572561683003e-15
"ST6GAL1","ST6GAL1",1952.8024927522,1.17465343294065,0.139984690254359,8.39129929713199,4.80798582181479e-17,1.37639655466523e-15
"PLEKHB1","PLEKHB1",636.222851280112,-1.58068029212207,0.188487407482859,-8.38613206702321,5.02398914392895e-17,1.42946276480844e-15
"TNFRSF14-AS1","TNFRSF14-AS1",79.1581838561898,-1.12837599428632,0.134648539528956,-8.38015769226868,5.28568387296276e-17,1.50163302113927e-15
"CSAD","CSAD",535.014614510386,-1.11491071524564,0.133053281125879,-8.37943044930132,5.3184432016665e-17,1.50635420878764e-15
"PRTFDC1","PRTFDC1",134.761191700624,-1.33414118780662,0.159220681132146,-8.3791953301553,5.32907713607255e-17,1.50707916279991e-15
"PLEKHA4","PLEKHA4",639.526720287681,-1.14488255023951,0.136934468375255,-8.36080618578863,6.22911083181378e-17,1.75894634910445e-15
"LYPD6","LYPD6",346.35532783794,-1.69763996155235,0.203162288152977,-8.35607817270726,6.48377522757812e-17,1.82809161061549e-15
"SFRS13B","SFRS13B",28.5847561743396,-1.90935348885375,0.228788481322185,-8.34549658190597,7.09152713423901e-17,1.99643067813833e-15
"CLCA2","CLCA2",711.015123909359,2.99201655576049,0.358655155997916,8.34232132376725,7.28461873299085e-17,2.04770193751919e-15
"SLC14A1","SLC14A1",53.0096401411657,-1.6633966232921,0.199638120928134,-8.33205910553972,7.94482645008705e-17,2.22657936472785e-15
"C9orf140","C9orf140",577.124032499572,1.06167015007278,0.127497555537077,8.32698435354737,8.29276995929731e-17,2.31713400135156e-15
